Letter,eng,fra,ger,spa,por,esp,ita,tur,swe,pol,ned,dan,ice,fin,cze
a,0.08167,0.07636,0.06516,0.11525,0.14634,0.12117,0.11745,0.1292,0.09383,0.10503,0.07486,0.06025,0.1011,0.12217,0.08421
b,0.01492,0.00901,0.01886,0.02215,0.01043,0.0098,0.00927,0.02844,0.01535,0.0174,0.01584,0.02,0.01043,0.00281,0.00822
c,0.02782,0.0326,0.02732,0.04019,0.03882,0.00776,0.04501,0.01463,0.01486,0.03895,0.01242,0.00565,0,0.00281,0.0074
d,0.04253,0.03669,0.05076,0.0501,0.04992,0.03044,0.03736,0.05206,0.04702,0.03725,0.05933,0.05858,0.01575,0.01043,0.03475
e,0.12702,0.14715,0.16396,0.12181,0.1257,0.08995,0.11792,0.09912,0.10149,0.07352,0.1891,0.15453,0.06418,0.07968,0.07562
f,0.02228,0.01066,0.01656,0.00692,0.01023,0.01037,0.01153,0.00461,0.02027,0.00143,0.00805,0.02406,0.03013,0.00194,0.00084
g,0.02015,0.00866,0.03009,0.01768,0.01303,0.01171,0.01644,0.01253,0.02862,0.01731,0.03403,0.04077,0.04241,0.00392,0.00092
h,0.06094,0.00737,0.04577,0.00703,0.00781,0.00384,0.00636,0.01212,0.0209,0.01015,0.0238,0.01621,0.01871,0.01851,0.01356
i,0.06966,0.07529,0.0655,0.06247,0.06186,0.10012,0.10143,0.096,0.05817,0.08328,0.06499,0.06,0.07578,0.10817,0.06073
j,0.00153,0.00613,0.00268,0.00493,0.00397,0.03501,0.00011,0.00034,0.00614,0.01836,0.0146,0.0073,0.01144,0.02042,0.01433
k,0.00772,0.00049,0.01417,0.00011,0.00015,0.04163,0.00009,0.05683,0.0314,0.02753,0.02248,0.03395,0.03314,0.04973,0.02894
l,0.04025,0.05456,0.03437,0.04967,0.02779,0.06104,0.0651,0.05922,0.05275,0.02564,0.03568,0.05229,0.04532,0.05761,0.03802
m,0.02406,0.02968,0.02534,0.03157,0.04738,0.02994,0.02512,0.03752,0.03471,0.02515,0.02213,0.03237,0.04041,0.03202,0.02446
n,0.06749,0.07095,0.09776,0.06712,0.04446,0.07955,0.06883,0.07987,0.08542,0.06237,0.10032,0.0724,0.07711,0.08826,0.06468
o,0.07507,0.05796,0.02594,0.08683,0.09735,0.08779,0.09832,0.02976,0.04482,0.06667,0.06063,0.04636,0.02166,0.05614,0.06695
p,0.01929,0.02521,0.0067,0.0251,0.02523,0.02755,0.03056,0.00886,0.01839,0.02445,0.0157,0.01756,0.00789,0.01842,0.01906
q,0.00095,0.01362,0.00018,0.00877,0.01204,0,0.00505,0,0.0002,0,0.00009,0.00007,0,0.00013,0.00001
r,0.05987,0.06693,0.07003,0.06871,0.0653,0.05914,0.06367,0.07722,0.08431,0.05243,0.06411,0.08956,0.08581,0.02872,0.04799
s,0.06327,0.07948,0.0727,0.07977,0.06805,0.06092,0.04981,0.03014,0.0659,0.05224,0.0373,0.05805,0.0563,0.07862,0.05212
t,0.09056,0.07244,0.06154,0.04632,0.04336,0.05276,0.05623,0.03314,0.07691,0.02475,0.0679,0.06862,0.04953,0.0875,0.05727
